id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,price_detail__currency
2126354,The Last Amazon FBA Course - [ 2020 ] Private Label Guide,TRUE,18802,4.64847,3344,369,0,455.0,8640.0,INR
1630412,Blockchain for Business 2020: The New Industrial Revolution,TRUE,15542,4.45327,3339,71,0,455.0,8640.0,INR
314744,Lean Six Sigma Green Belt Online Course (2020),TRUE,13530,4.28972,3328,165,0,488.0,9280.0,INR
963844,Editing Mastery: How To Edit Writing To Perfection,TRUE,24847,4.52647,3305,56,0,455.0,8640.0,INR
481434,"Communicate for Business: Write, Email, Close the Loop",TRUE,13712,4.29722,3290,36,0,455.0,1280.0,INR
1498158,Time and Task Management: Time Management Techniques,TRUE,9876,4.33333,3270,26,0,455.0,3200.0,INR
1322562,"How to Present Your Thoughts Smoothly, Clearly & Powerfully",TRUE,8111,4.29382,3262,25,0,455.0,1600.0,INR
2296344,Speak Like a Pro: Public Speaking for Professionals,TRUE,7556,4.34922,3270,29,1,,12800.0,INR
912902,Six Sigma White Belt: Learn Six Sigma & Grow Your Potential,TRUE,10924,4.40312,3242,35,0,455.0,8640.0,INR
696616,Stock Trading & Investing for Beginners 4-in-1 Course Bundle,TRUE,16406,4.46085,3217,120,0,455.0,8640.0,INR
2135486,Microsoft Power BI - Business Intelligence for Beginners,TRUE,14958,4.4156,3200,247,0,481.0,8960.0,INR
835336,Blogging for a Living: Perfect Small Budget Project,TRUE,19166,4.45363,3177,135,0,455.0,8640.0,INR
1384448,Power BI Masterclass - beginners to advanced,TRUE,12244,4.40347,3159,46,0,455.0,8640.0,INR
572350,How To Make A Great First Impression,TRUE,28744,4.4,3116,5,0,455.0,1280.0,INR
698362,Understand SWOT Analysis in 30 minutes,TRUE,23932,4.08065,3108,11,0,455.0,1280.0,INR
1355906,Understanding Unconscious Bias,TRUE,7916,4.31579,3102,11,0,455.0,3200.0,INR
526000,How to Manage Difficult Conversations: Beginner's Guide,TRUE,8188,4.36296,3092,44,0,455.0,6080.0,INR
1353936,Collaboration and Emotional Intelligence,TRUE,7633,4.37472,3072,48,0,455.0,8640.0,INR
507714,Certificate in Qlik Sense Analytics Development,TRUE,13004,4.42586,3058,77,0,455.0,8640.0,INR
953294,"The Basics of Blockchain: Ethereum, Bitcoin, & More",TRUE,9522,4.42308,3048,51,0,455.0,3520.0,INR
1668050,Presentation Skills: Master Confident Presentations,TRUE,8861,4.56059,3024,34,0,455.0,8640.0,INR
788980,Interview Questions: Interview Like a Professional HRM,TRUE,8109,4.42071,2985,12,0,455.0,1280.0,INR
821278,"INTERVIEW TRAINING: Ask Better Questions, Hire Better People",TRUE,7182,4.4698,2949,19,0,455.0,1280.0,INR
969140,Learn about Content Writing,TRUE,25334,3.69231,2935,18,0,,1280.0,INR
1661222,[BESTSELLER]™ Python Data Analysis & Visualization Bootcamp,TRUE,5495,4.52152,2935,45,0,,1600.0,INR
1419500,Salesforce 101: Introduction to Salesforce,TRUE,20336,4.40909,2935,17,0,494.0,1600.0,INR
